"ID","Release_year","Group","year","Zone","Location","Genotype","Rep","yield","Loc_Count","environment"
"6184","1970","Medium","2002","1","Bhanga","G_winter_013","1",5.8,"1","2002_Bhanga"
"6185","1970","Medium","2002","1","Bhanga","G_winter_013","2",5.3,"2","2002_Bhanga"
"6186","1970","Medium","2002","1","Bhanga","G_winter_013","3",6,"3","2002_Bhanga"
"6187","1985","Medium","2002","1","Bhanga","G_winter_014","1",7.4,"4","2002_Bhanga"
"6188","1985","Medium","2002","1","Bhanga","G_winter_014","2",7.5,"5","2002_Bhanga"
"6189","1985","Medium","2002","1","Bhanga","G_winter_014","3",7.4,"6","2002_Bhanga"
"6190","1977","Medium","2002","1","Bhanga","G_winter_015","1",7.6,"7","2002_Bhanga"
"6191","1977","Medium","2002","1","Bhanga","G_winter_015","2",7.3,"8","2002_Bhanga"
"6192","1977","Medium","2002","1","Bhanga","G_winter_015","3",7.4,"9","2002_Bhanga"
"6193","1978","Medium","2002","1","Bhanga","G_winter_016","1",5.4,"10","2002_Bhanga"
"6194","1978","Medium","2002","1","Bhanga","G_winter_016","2",7.1,"11","2002_Bhanga"
"6195","1978","Medium","2002","1","Bhanga","G_winter_016","3",7.4,"12","2002_Bhanga"
"6196","1998","Medium","2002","1","Bhanga","G_winter_017","1",7.7,"13","2002_Bhanga"
"6197","1998","Medium","2002","1","Bhanga","G_winter_017","2",7.1,"14","2002_Bhanga"
"6198","1998","Medium","2002","1","Bhanga","G_winter_017","3",6,"15","2002_Bhanga"
"6199","1970","Medium","2002","1","Cumilla","G_winter_013","1",6.87,"1","2002_Cumilla"
"6200","1970","Medium","2002","1","Cumilla","G_winter_013","2",6.03,"2","2002_Cumilla"
"6201","1970","Medium","2002","1","Cumilla","G_winter_013","3",5.96,"3","2002_Cumilla"
"6202","1985","Medium","2002","1","Cumilla","G_winter_014","1",5.8,"4","2002_Cumilla"
"6203","1985","Medium","2002","1","Cumilla","G_winter_014","2",5.61,"5","2002_Cumilla"
"6204","1985","Medium","2002","1","Cumilla","G_winter_014","3",5.44,"6","2002_Cumilla"
"6205","1977","Medium","2002","1","Cumilla","G_winter_015","1",5.79,"7","2002_Cumilla"
"6206","1977","Medium","2002","1","Cumilla","G_winter_015","2",5.35,"8","2002_Cumilla"
"6207","1977","Medium","2002","1","Cumilla","G_winter_015","3",4.99,"9","2002_Cumilla"
"6208","1978","Medium","2002","1","Cumilla","G_winter_016","1",5.2,"10","2002_Cumilla"
"6209","1978","Medium","2002","1","Cumilla","G_winter_016","2",5.57,"11","2002_Cumilla"
"6210","1978","Medium","2002","1","Cumilla","G_winter_016","3",5.36,"12","2002_Cumilla"
"6211","1998","Medium","2002","1","Cumilla","G_winter_017","1",6.35,"13","2002_Cumilla"
"6212","1998","Medium","2002","1","Cumilla","G_winter_017","2",6.22,"14","2002_Cumilla"
"6213","1998","Medium","2002","1","Cumilla","G_winter_017","3",6.03,"15","2002_Cumilla"
"6214","1970","Medium","2002","1","Rangpur","G_winter_013","1",5.17,"1","2002_Rangpur"
"6215","1970","Medium","2002","1","Rangpur","G_winter_013","2",6.13,"2","2002_Rangpur"
"6216","1970","Medium","2002","1","Rangpur","G_winter_013","3",4.82,"3","2002_Rangpur"
"6217","1985","Medium","2002","1","Rangpur","G_winter_014","1",8.02,"4","2002_Rangpur"
"6218","1985","Medium","2002","1","Rangpur","G_winter_014","2",7.37,"5","2002_Rangpur"
"6219","1985","Medium","2002","1","Rangpur","G_winter_014","3",7.56,"6","2002_Rangpur"
"6220","1977","Medium","2002","1","Rangpur","G_winter_015","1",6.05,"7","2002_Rangpur"
"6221","1977","Medium","2002","1","Rangpur","G_winter_015","2",7.12,"8","2002_Rangpur"
"6222","1977","Medium","2002","1","Rangpur","G_winter_015","3",7.27,"9","2002_Rangpur"
"6223","1978","Medium","2002","1","Rangpur","G_winter_016","1",6.66,"10","2002_Rangpur"
"6224","1978","Medium","2002","1","Rangpur","G_winter_016","2",8.21,"11","2002_Rangpur"
"6225","1978","Medium","2002","1","Rangpur","G_winter_016","3",7.18,"12","2002_Rangpur"
"6226","1998","Medium","2002","1","Rangpur","G_winter_017","1",6.47,"13","2002_Rangpur"
"6227","1998","Medium","2002","1","Rangpur","G_winter_017","2",7.31,"14","2002_Rangpur"
"6228","1998","Medium","2002","1","Rangpur","G_winter_017","3",6.06,"15","2002_Rangpur"
"6229","1970","Medium","2002","2","Kushtia","G_winter_013","1",6.66,"1","2002_Kushtia"
"6230","1970","Medium","2002","2","Kushtia","G_winter_013","2",6.57,"2","2002_Kushtia"
"6231","1970","Medium","2002","2","Kushtia","G_winter_013","3",6.42,"3","2002_Kushtia"
"6232","1985","Medium","2002","2","Kushtia","G_winter_014","1",5.74,"4","2002_Kushtia"
"6233","1985","Medium","2002","2","Kushtia","G_winter_014","2",5.82,"5","2002_Kushtia"
"6234","1985","Medium","2002","2","Kushtia","G_winter_014","3",5.68,"6","2002_Kushtia"
"6235","1977","Medium","2002","2","Kushtia","G_winter_015","1",5.18,"7","2002_Kushtia"
"6236","1977","Medium","2002","2","Kushtia","G_winter_015","2",5.16,"8","2002_Kushtia"
"6237","1977","Medium","2002","2","Kushtia","G_winter_015","3",5.65,"9","2002_Kushtia"
"6238","1978","Medium","2002","2","Kushtia","G_winter_016","1",6.35,"10","2002_Kushtia"
"6239","1978","Medium","2002","2","Kushtia","G_winter_016","2",4.73,"11","2002_Kushtia"
"6240","1978","Medium","2002","2","Kushtia","G_winter_016","3",6.38,"12","2002_Kushtia"
"6241","1998","Medium","2002","2","Kushtia","G_winter_017","1",6.05,"13","2002_Kushtia"
"6242","1998","Medium","2002","2","Kushtia","G_winter_017","2",6.12,"14","2002_Kushtia"
"6243","1998","Medium","2002","2","Kushtia","G_winter_017","3",6,"15","2002_Kushtia"
"6244","1970","Medium","2002","2","Satkhira","G_winter_013","1",5.27,"1","2002_Satkhira"
"6245","1970","Medium","2002","2","Satkhira","G_winter_013","2",5.12,"2","2002_Satkhira"
"6246","1970","Medium","2002","2","Satkhira","G_winter_013","3",5.32,"3","2002_Satkhira"
"6247","1985","Medium","2002","2","Satkhira","G_winter_014","1",5.53,"4","2002_Satkhira"
"6248","1985","Medium","2002","2","Satkhira","G_winter_014","2",5.53,"5","2002_Satkhira"
"6249","1985","Medium","2002","2","Satkhira","G_winter_014","3",5.63,"6","2002_Satkhira"
"6250","1977","Medium","2002","2","Satkhira","G_winter_015","1",4.2,"7","2002_Satkhira"
"6251","1977","Medium","2002","2","Satkhira","G_winter_015","2",4.09,"8","2002_Satkhira"
"6252","1977","Medium","2002","2","Satkhira","G_winter_015","3",4.35,"9","2002_Satkhira"
"6253","1978","Medium","2002","2","Satkhira","G_winter_016","1",6.45,"10","2002_Satkhira"
"6254","1978","Medium","2002","2","Satkhira","G_winter_016","2",6.55,"11","2002_Satkhira"
"6255","1978","Medium","2002","2","Satkhira","G_winter_016","3",6.65,"12","2002_Satkhira"
"6256","1998","Medium","2002","2","Satkhira","G_winter_017","1",5.63,"13","2002_Satkhira"
"6257","1998","Medium","2002","2","Satkhira","G_winter_017","2",5.37,"14","2002_Satkhira"
"6258","1998","Medium","2002","2","Satkhira","G_winter_017","3",5.53,"15","2002_Satkhira"
"6259","1970","Medium","2002","3","Gazipur","G_winter_013","1",3.65,"1","2002_Gazipur"
"6260","1970","Medium","2002","3","Gazipur","G_winter_013","2",3.44,"2","2002_Gazipur"
"6261","1970","Medium","2002","3","Gazipur","G_winter_013","3",3.65,"3","2002_Gazipur"
"6262","1985","Medium","2002","3","Gazipur","G_winter_014","1",3.11,"4","2002_Gazipur"
"6263","1985","Medium","2002","3","Gazipur","G_winter_014","2",3.94,"5","2002_Gazipur"
"6264","1985","Medium","2002","3","Gazipur","G_winter_014","3",3.93,"6","2002_Gazipur"
"6265","1977","Medium","2002","3","Gazipur","G_winter_015","1",3.23,"7","2002_Gazipur"
"6266","1977","Medium","2002","3","Gazipur","G_winter_015","2",4.99,"8","2002_Gazipur"
"6267","1977","Medium","2002","3","Gazipur","G_winter_015","3",3.48,"9","2002_Gazipur"
"6268","1978","Medium","2002","3","Gazipur","G_winter_016","1",3.25,"10","2002_Gazipur"
"6269","1978","Medium","2002","3","Gazipur","G_winter_016","2",5.99,"11","2002_Gazipur"
"6270","1978","Medium","2002","3","Gazipur","G_winter_016","3",3.94,"12","2002_Gazipur"
"6271","1998","Medium","2002","3","Gazipur","G_winter_017","1",4.7,"13","2002_Gazipur"
"6272","1998","Medium","2002","3","Gazipur","G_winter_017","2",3.96,"14","2002_Gazipur"
"6273","1998","Medium","2002","3","Gazipur","G_winter_017","3",3.82,"15","2002_Gazipur"
"6274","1970","Medium","2002","3","Habiganj","G_winter_013","1",5.67,"1","2002_Habiganj"
"6275","1970","Medium","2002","3","Habiganj","G_winter_013","2",5.65,"2","2002_Habiganj"
"6276","1970","Medium","2002","3","Habiganj","G_winter_013","3",5.27,"3","2002_Habiganj"
"6277","1985","Medium","2002","3","Habiganj","G_winter_014","1",5.53,"4","2002_Habiganj"
"6278","1985","Medium","2002","3","Habiganj","G_winter_014","2",6.04,"5","2002_Habiganj"
"6279","1985","Medium","2002","3","Habiganj","G_winter_014","3",6.15,"6","2002_Habiganj"
"6280","1977","Medium","2002","3","Habiganj","G_winter_015","1",5.24,"7","2002_Habiganj"
"6281","1977","Medium","2002","3","Habiganj","G_winter_015","2",5.13,"8","2002_Habiganj"
"6282","1977","Medium","2002","3","Habiganj","G_winter_015","3",5.36,"9","2002_Habiganj"
"6283","1978","Medium","2002","3","Habiganj","G_winter_016","1",4.98,"10","2002_Habiganj"
"6284","1978","Medium","2002","3","Habiganj","G_winter_016","2",5.44,"11","2002_Habiganj"
"6285","1978","Medium","2002","3","Habiganj","G_winter_016","3",5.57,"12","2002_Habiganj"
"6286","1998","Medium","2002","3","Habiganj","G_winter_017","1",5.38,"13","2002_Habiganj"
"6287","1998","Medium","2002","3","Habiganj","G_winter_017","2",4.92,"14","2002_Habiganj"
"6288","1998","Medium","2002","3","Habiganj","G_winter_017","3",4.61,"15","2002_Habiganj"
"6289","1970","Medium","2002","4","Barishal","G_winter_013","1",6.12,"1","2002_Barishal"
"6290","1970","Medium","2002","4","Barishal","G_winter_013","2",6.72,"2","2002_Barishal"
"6291","1970","Medium","2002","4","Barishal","G_winter_013","3",6.83,"3","2002_Barishal"
"6292","1985","Medium","2002","4","Barishal","G_winter_014","1",6.38,"4","2002_Barishal"
"6293","1985","Medium","2002","4","Barishal","G_winter_014","2",6.81,"5","2002_Barishal"
"6294","1985","Medium","2002","4","Barishal","G_winter_014","3",6.01,"6","2002_Barishal"
"6295","1977","Medium","2002","4","Barishal","G_winter_015","1",4.88,"7","2002_Barishal"
"6296","1977","Medium","2002","4","Barishal","G_winter_015","2",5.37,"8","2002_Barishal"
"6297","1977","Medium","2002","4","Barishal","G_winter_015","3",5.96,"9","2002_Barishal"
"6298","1978","Medium","2002","4","Barishal","G_winter_016","1",7.67,"10","2002_Barishal"
"6299","1978","Medium","2002","4","Barishal","G_winter_016","2",7.75,"11","2002_Barishal"
"6300","1978","Medium","2002","4","Barishal","G_winter_016","3",7.48,"12","2002_Barishal"
"6301","1998","Medium","2002","4","Barishal","G_winter_017","1",7.08,"13","2002_Barishal"
"6302","1998","Medium","2002","4","Barishal","G_winter_017","2",7.5,"14","2002_Barishal"
"6303","1998","Medium","2002","4","Barishal","G_winter_017","3",7.58,"15","2002_Barishal"
"6304","1970","Medium","2002","4","Rajshahi","G_winter_013","1",6.1,"1","2002_Rajshahi"
"6305","1970","Medium","2002","4","Rajshahi","G_winter_013","2",4.6,"2","2002_Rajshahi"
"6306","1970","Medium","2002","4","Rajshahi","G_winter_013","3",5.5,"3","2002_Rajshahi"
"6307","1985","Medium","2002","4","Rajshahi","G_winter_014","1",4.6,"4","2002_Rajshahi"
"6308","1985","Medium","2002","4","Rajshahi","G_winter_014","2",4.9,"5","2002_Rajshahi"
"6309","1985","Medium","2002","4","Rajshahi","G_winter_014","3",5.4,"6","2002_Rajshahi"
"6310","1977","Medium","2002","4","Rajshahi","G_winter_015","1",4.6,"7","2002_Rajshahi"
"6311","1977","Medium","2002","4","Rajshahi","G_winter_015","2",3.7,"8","2002_Rajshahi"
"6312","1977","Medium","2002","4","Rajshahi","G_winter_015","3",4.6,"9","2002_Rajshahi"
"6313","1978","Medium","2002","4","Rajshahi","G_winter_016","1",5,"10","2002_Rajshahi"
"6314","1978","Medium","2002","4","Rajshahi","G_winter_016","2",5,"11","2002_Rajshahi"
"6315","1978","Medium","2002","4","Rajshahi","G_winter_016","3",4.2,"12","2002_Rajshahi"
"6316","1998","Medium","2002","4","Rajshahi","G_winter_017","1",5.4,"13","2002_Rajshahi"
"6317","1998","Medium","2002","4","Rajshahi","G_winter_017","2",6.3,"14","2002_Rajshahi"
"6318","1998","Medium","2002","4","Rajshahi","G_winter_017","3",5.3,"15","2002_Rajshahi"
"6319","1970","Medium","2003","1","Bhanga","G_winter_013","1",5.56,"16","2003_Bhanga"
"6320","1970","Medium","2003","1","Bhanga","G_winter_013","2",5.59,"17","2003_Bhanga"
"6321","1970","Medium","2003","1","Bhanga","G_winter_013","3",4.24,"18","2003_Bhanga"
"6322","1985","Medium","2003","1","Bhanga","G_winter_014","1",6.17,"19","2003_Bhanga"
"6323","1985","Medium","2003","1","Bhanga","G_winter_014","2",6.83,"20","2003_Bhanga"
"6324","1985","Medium","2003","1","Bhanga","G_winter_014","3",6.64,"21","2003_Bhanga"
"6325","1977","Medium","2003","1","Bhanga","G_winter_015","1",5.21,"22","2003_Bhanga"
"6326","1977","Medium","2003","1","Bhanga","G_winter_015","2",5.94,"23","2003_Bhanga"
"6327","1977","Medium","2003","1","Bhanga","G_winter_015","3",6.17,"24","2003_Bhanga"
"6328","1978","Medium","2003","1","Bhanga","G_winter_016","1",6.52,"25","2003_Bhanga"
"6329","1978","Medium","2003","1","Bhanga","G_winter_016","2",7.45,"26","2003_Bhanga"
"6330","1978","Medium","2003","1","Bhanga","G_winter_016","3",7.06,"27","2003_Bhanga"
"6331","1998","Medium","2003","1","Bhanga","G_winter_017","1",6.4,"28","2003_Bhanga"
"6332","1998","Medium","2003","1","Bhanga","G_winter_017","2",7.25,"29","2003_Bhanga"
"6333","1998","Medium","2003","1","Bhanga","G_winter_017","3",6.56,"30","2003_Bhanga"
"6334","1970","Medium","2003","1","Cumilla","G_winter_013","1",4.74,"16","2003_Cumilla"
"6335","1970","Medium","2003","1","Cumilla","G_winter_013","2",4.88,"17","2003_Cumilla"
